Saison,Parcelle,Espèce,Age,Pénalité,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
2025 - 2026,E2,Charme commun,2,,01/03/2024,45,0,0.0,0,0,0,0,1,0.03896631513742556,0.01795777973880681,1.7534841811841502,0.8081000882463065
2025 - 2026,E2,Charme commun,3,-1: planted outside November -> March,10/10/2021,43,0,0.0,0,0,0,0,0,0.496401939767995,0.22876878824265062,21.345283410023786,9.837057894433977
2025 - 2026,E2,Charme commun,6,,04/03/2020,495,29,5.86,2372,68,34,4,0,18.81103507739222,8.669139573177931,9311.462363309149,4291.224088723076
2025 - 2026,E2,Chêne pubescent,2,,01/03/2024,80,0,0.0,0,0,0,0,1,0.03896631513742556,0.003896631513742556,3.1173052109940445,0.31173052109940447
2025 - 2026,E2,Chêne pubescent,4,,10/10/2021,66,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,181.3157919446209,18.13157919446209
2025 - 2026,E2,Chêne pubescent,6,,04/03/2020,1518,10,0.66,659,18,36,0,0,18.81103507739222,1.881103507739222,10000.0,2855.515124748139
2025 - 2026,F,Chêne pubescent,2,,01/03/2024,35,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,1.3638210298098945,0.13638210298098946
2025 - 2026,F,Chêne pubescent,4,,10/10/2021,16,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,43.95534350172628,4.395534350172628
2025 - 2026,F,Chêne pubescent,6,-1: planted outside October -> March,11/04/2018,1310,12,0.92,866,19,45,0,0,18.81103507739222,1.881103507739222,10000.0,2464.245595138381
2025 - 2026,F,Chêne pubescent,6,,22/11/2019,56,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,1053.4179643339644,105.34179643339642
2025 - 2026,G,Chêne vert,2,,01/03/2024,29,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,1.1300231389853412,0.11300231389853413
2025 - 2026,G,Chêne vert,3,-1: planted outside November -> March,10/10/2021,10,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,4.96401939767995,0.496401939767995
2025 - 2026,G,Chêne vert,6,-1: planted outside November -> March,23/04/2018,1670,65,3.89,2686,95,28,1,0,18.81103507739222,1.881103507739222,10000.0,3141.442857924501
2025 - 2026,G,Chêne vert,6,,27/11/2019,44,1,2.27,34,1,34,0,0,18.81103507739222,1.881103507739222,827.6855434052577,82.76855434052577
