,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[75],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[76],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[77],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[78],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[79],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[80],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[81],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[82],0.0,0.001,-0.0,0.0,0.0,0.0,156.0,336.0,1.06
mu[83],0.026,0.052,-0.001,0.092,0.003,0.009,244.0,475.0,1.03
mu[84],0.026,0.052,-0.001,0.092,0.003,0.009,244.0,475.0,1.03
mu[85],4.51,2.038,0.698,7.956,0.222,0.079,88.0,618.0,1.02
mu[86],0.001,0.005,-0.0,0.001,0.0,0.001,136.0,418.0,1.03
mu[87],0.079,0.217,-0.013,0.284,0.009,0.019,235.0,486.0,1.04
mu[88],0.079,0.217,-0.013,0.284,0.009,0.019,235.0,486.0,1.04
mu[89],0.001,0.005,-0.0,0.001,0.0,0.001,136.0,418.0,1.03
mu[90],0.009,0.042,-0.0,0.024,0.001,0.005,184.0,427.0,1.03
mu[91],0.079,0.217,-0.013,0.284,0.009,0.019,235.0,486.0,1.04
mu[92],0.0,0.001,-0.0,0.0,0.0,0.0,136.0,374.0,1.03
mu[93],0.038,0.068,0.0,0.126,0.003,0.007,208.0,439.0,1.03
mu[94],0.038,0.068,0.0,0.126,0.003,0.007,208.0,439.0,1.03
mu[95],5.0,2.074,1.557,9.093,0.09,0.076,478.0,884.0,1.01
mu[96],0.0,0.0,-0.0,0.0,0.0,0.0,53.0,392.0,1.05
mu[97],0.031,0.051,-0.0,0.105,0.003,0.005,112.0,557.0,1.05
mu[98],0.031,0.051,-0.0,0.105,0.003,0.005,112.0,557.0,1.05
mu[99],4.756,2.072,0.966,8.645,0.114,0.068,284.0,667.0,1.01
mu[100],0.0,0.0,-0.0,0.0,0.0,0.0,103.0,432.0,1.03
mu[101],0.04,0.073,-0.005,0.143,0.004,0.007,242.0,514.0,1.04
mu[102],1.706,1.063,0.211,3.844,0.046,0.041,372.0,1128.0,1.01
mu[103],0.0,0.002,-0.0,0.0,0.0,0.001,139.0,383.0,1.03
mu[104],0.003,0.017,-0.0,0.009,0.001,0.005,157.0,382.0,1.03
mu[105],0.044,0.093,-0.0,0.156,0.006,0.012,195.0,423.0,1.03
mu[106],1.692,1.12,0.159,3.894,0.05,0.047,443.0,1106.0,1.04
mu[107],0.0,0.001,-0.0,0.0,0.0,0.0,50.0,415.0,1.04
mu[108],0.003,0.01,-0.0,0.011,0.0,0.002,61.0,454.0,1.03
mu[109],0.043,0.071,-0.002,0.158,0.004,0.005,95.0,705.0,1.03
mu[110],1.749,1.094,0.167,3.765,0.044,0.042,545.0,919.0,1.02
mu[111],0.0,0.004,-0.0,0.0,0.0,0.001,59.0,344.0,1.04
mu[112],0.061,0.151,-0.005,0.21,0.006,0.017,140.0,532.0,1.03
mu[113],0.061,0.151,-0.005,0.21,0.006,0.017,140.0,532.0,1.03
mu[114],0.0,0.0,-0.0,0.0,0.0,0.0,78.0,391.0,1.04
mu[115],0.003,0.009,-0.0,0.011,0.0,0.001,115.0,414.0,1.03
mu[116],1.855,1.2,0.111,4.269,0.047,0.044,491.0,1080.0,1.01
mu[117],0.0,0.0,-0.0,0.0,0.0,0.0,78.0,391.0,1.04
mu[118],0.047,0.079,-0.002,0.177,0.004,0.006,235.0,512.0,1.03
mu[119],1.855,1.2,0.111,4.269,0.047,0.044,491.0,1080.0,1.01
mu[120],0.0,0.004,-0.0,0.0,0.0,0.002,112.0,348.0,1.05
mu[121],0.04,0.065,-0.002,0.157,0.006,0.007,168.0,216.0,1.05
mu[122],1.7,1.056,0.171,3.912,0.07,0.092,273.0,157.0,1.02
